Title,Artist,Year,Genre,FavSong,URL,CoverFile,Country,CountryName,Tags,Comment,Mood_Sad,Mood_Angry,Mood_Happy,Mood_Dark,Mood_Groovy,Mood_Dreamy,Mood_Passion,Notes,Lyric
Twin Peaks: Fire Walk With Me ,Angelo Badalamenti,1992,Dark Jazz,Questions in a World of Blue,https://www.youtube.com/watch?v=MOSaLtcqob8,cover_angelo_fire.jpeg,US,USA,"Tears Please Stop Flowing, Gaze Into the Abyss, Soundtrack",,5,0,0,1,0,3,0,,
Angel’s Egg,Yoshihiro Kanno,1985,Modern Classical,Prelude,https://www.youtube.com/watch?v=mqRR9EoWVAI,cover_yoshihiro_tenshi.jpeg,JP,Japan,"Soundtrack, Gaze Into the Abyss, World Is Cold and Lonely",,,,,,,,,,
Three Cheers for Sweet Revenge,My Chemical Romance,2004,Emo-Pop,Helena,https://www.youtube.com/watch?v=UCCyoocDxBA,cover_mcr_cheers.jpeg,US,USA,Scream Into the Void,,2,1,0,1,0,0,4,,
Mass of the Fermenting Dregs,Mass of the Fermenting Dregs,2006,Shimokita-kei,Delusionalism,https://www.youtube.com/watch?v=5p_DvecvJKc,cover_mass_fermenting.jpeg,JP,Japan,"Seen Live, Pure Awesome",,1,0,1,0,0,0,3,,
To Be Kind,Swans,2024,Post-Rock,She Loves Us,https://www.youtube.com/watch?v=B7gNBS5PXCo,cover_swans_kind.jpeg,US,USA,Gaze Into the Abyss,,4,0,0,3,0,0,0,,
Hounds of Love,Kate Bush,1985,Art Pop,Running Up That Hill (A Deal With God),https://www.youtube.com/watch?v=wp43OdtAAkM,cover_bush_hounds.jpeg,GB,United Kingdom,Eclectic Masterpiece,,3,0,1,0,0,0,4,,
Painkiller,Judas Priest,1990,Speed Metal,Painkiller,https://www.youtube.com/watch?v=kO_EdmtR5Ck,cover_judas_painkiller.jpeg,GB,United Kingdom,Pure Awesome,,0,3,0,0,0,0,3,,
Clair Obscur: Expedition 33 ,Lorien Testard,2025,Classical Crossover,Alicia,https://www.youtube.com/watch?v=yakOBIoyoik,cover_lorien_clair.jpeg,FR,France,"Soundtrack, Ethereal Sadness",,4,0,0,1,0,1,3,,
Haibane Renmei: Soundtrack Hanenone,Kow Otani,2003,Chamber Musik,Refrain of Memory,https://www.youtube.com/watch?v=36DgAT5jWMY,cover_kow_haibane.png,JP,Japan,"Soundtrack, Tears Please Stop Flowing",,,,,,,,,,
For Long Tomorrow,toe,2009,Math Rock,Goodbye,https://www.youtube.com/watch?v=e1pZIfretEs,cover_toe_tomorrow.jpeg,JP,Japan,Floating Into Bliss,,3,0,1,0,1,3,3,,
