Title,Artist,Album,Year,Genre,URL,MV,Duration,Country,CountryName,Tags,Mood_Sad,Mood_Angry,Mood_Happy,Mood_Dark,Mood_Groovy,Mood_Dreamy,Mood_Passion,Notes,Lyric,Views
Looming.Sorrow.Decent,Sewerslvt,Skitzofrenia Simulation,2021,Atmospheric Drum’n’Bass,https://www.youtube.com/watch?v=x1P_0mUsBJ0,True,5:18,AU,Australia,,1,3,0,3,3,0,0,,,833903
Karakara,Kessoku Band,Kessoku Band,2022,Shimokita-kei,https://www.youtube.com/watch?v=IwHwv-lcxi4,False,4:24,JP,Japan,,0,0,3,0,0,1,1,,,8148766
Arabesque,Lily Chou-Chou,Kokyuu,2001,Ambient Pop,https://www.youtube.com/watch?v=12mwzwUL7Vk,False,5:50,JP,Japan,Soundtrack,5,0,0,0,0,3,0,,,1634351
Myth,Beach House,Bloom,2012,Dream Pop,https://www.youtube.com/watch?v=FuvWc3ToDHg,False,4:13,US,USA,,3,0,0,0,0,5,1,,,14013099
Memories of Green,Vangelis,Blade Runner,1980,Progressive Electronic,https://www.youtube.com/watch?v=u1KfOMkyU_w,False,5:5,US,USA,Soundtrack,4,0,0,0,0,4,0,,,1574810
Infohazard,Ninajirachi,I Love My Computer ,2025,Trance,https://www.youtube.com/watch?v=p2ZdeIKJA8c,True,4:34,UK,United Kingdom,,1,0,1,2,0,3,0,,,1429122
Resistance Hymn,Barbara Dane,FTA!: Songs of the GI Resistance ,1970,Contemporary Folk,https://www.youtube.com/watch?v=YS1rSEnxgNE,False,7:32,US,USA,Anti-fascist Anthem,1,1,1,0,0,0,2,,,10202
Il était une forêt,Gris,Il était une forêt,2007,Depressive Black Metal,https://www.youtube.com/watch?v=rMrBWwEMA7w,False,9:41,CA,Canada,,3,0,0,5,0,0,3,,,160440
I Know the End,Phoebe Bridgers,Punisher,2020,Singer-Songwriter,https://www.youtube.com/watch?v=WJ9-xN6dCW4,True,05:44.00,US,USA,,4,0,0,2,0,1,2,,,6150320
Love Will Save You,Swans,White Light from the Mouth of Infinity,1991,Gothic Rock,https://www.youtube.com/watch?v=HXbcErP-Xok,False,6:8,US,USA,,4,0,0,3,0,0,0,,,583646
Walk on By,Isaac Hayes,Hot Buttered Soul,1969,Progressive Soul,https://www.youtube.com/watch?v=DFdR2LLM3bY,False,12:00.00,US,USA,,3,0,0,0,0,1,0,,,2006596
Beach Life-In-Death,Car Seat Headrest,Twin Fantasy,2018,Indie Rock,https://www.youtube.com/watch?v=hx59YVs5itM,False,13:19.00,US,USA,,3,1,0,0,0,0,4,,,683635
EARFQUAKE,"Tyler, the Creator",Igor,2019,Neo-Soul,https://www.youtube.com/watch?v=HmAsUQEFYGI,True,4:26,US,USA,🔥 Music Video,3,0,0,0,0,0,2,,,172768324
Wuthering Heights,Kate Bush,The Kick Inside,1978,Art Pop,https://www.youtube.com/watch?v=Fk-4lXLM34g,True,04:29.00,UK,United Kingdom,,3,0,1,0,0,0,4,,,27242119
Spotlight,Jessie Ware,What’s Your Pleasure,2020,Dance-Pop,https://www.youtube.com/watch?v=kw56LGfrf4A,True,05:31.00,UK,United Kingdom,,1,0,0,0,3,2,0,,,8185312
Thousand Knives,Ryuichi Sakamoto,Thousand Knives of Ryuichi Sakamoto ,1978,Progressive Electronic,https://www.youtube.com/watch?v=IKz0NNemy8M,False,9:36,JP,Japan,Instrumental,0,0,1,0,4,0,0,,,362846
I Say a Little Prayer,Aretha Franklin,Aretha Now,1968,Southern Soul,https://www.youtube.com/watch?v=TDyiREoBw0o,False,03:30.00,US,USA,,0,0,3,0,0,0,3,,,37707480
Common People,Pulp,Different Class,1995,Britpop,https://www.youtube.com/watch?v=yuTMWgOduFM,False,4:5,UK,United Kingdom,,2,1,0,0,0,0,3,,,60796370
Danny Nedelko,Idles,Joy as an Act of Resistance. ,2018,Post-Punk,https://www.youtube.com/watch?v=QkF_G-RF66M,True,03:24.00,UK,United Kingdom,Anti-fascist Anthem,0,1,4,0,0,0,2,,,5236183
Moanin’,Art Blakey & The Jazz Messengers,Moanin’,1959,Hard Bop,https://www.youtube.com/watch?v=Cv9NSR-2DwM,False,09:33.00,US,USA,,0,0,2,0,2,0,0,,,16640155
Macht kaputt was euch kaputt macht,Ton Steine Scherben,Warum geht es mir so dreckig?,1971,Proto-Punk,https://www.youtube.com/watch?v=WTE28YU_FrY,False,6:56,DE,Germany,Anti-fascist Anthem,0,4,0,0,1,0,2,,,579719
Police State Is Nervous,Dälek,,2014,Political Hip Hop,https://www.youtube.com/watch?v=gBByC9BebX4,True,04:08.00,US,USA,Anti-fascist Anthem,2,3,0,1,0,0,0,,,500000
